date,contract,contract_m,open,high,low,close,fluctuation,fluctuation_percent,volume,settlement,open_interest,last_best_buy,last_bset_sell,h_high,h_low
2014-05-30,TX,201406,9121,9130,9086,9091,-23,-0.25%,76393,9089,64128,9090,9091,9149,7508
2014-06-03,TX,201406,9112,9133,9061,9104,15,0.17%,83254,9106,60968,9104,9105,9149,7508
2014-06-04,TX,201406,9118,9124,9097,9102,-4,-0.04%,53898,9102,61087,9102,9103,9149,7508
2014-06-05,TX,201406,9117,9118,9074,9118,16,0.18%,67500,9116,58461,9117,9118,9149,7508
2014-06-06,TX,201406,9138,9158,9120,9125,9,0.10%,59766,9125,58373,9125,9126,9158,7508
2014-06-09,TX,201406,9140,9155,9129,9146,21,0.23%,45298,9144,58607,9144,9146,9158,7508
2014-06-10,TX,201406,9159,9202,9155,9185,41,0.45%,72200,9185,60591,9185,9186,9202,7508
2014-06-11,TX,201406,9194,9212,9183,9211,26,0.28%,43499,9210,59671,9210,9211,9212,7508
2014-06-12,TX,201406,9195,9215,9181,9204,-6,-0.07%,46433,9202,59477,9203,9204,9215,7508
2014-06-13,TX,201406,9170,9199,9156,9198,-4,-0.04%,69155,9195,56045,9198,9199,9215,7508
2014-06-16,TX,201406,9180,9214,9175,9200,5,0.05%,54947,9200,51317,9200,9202,9215,7508
2014-06-17,TX,201406,9207,9248,9203,9241,41,0.45%,66123,9242,45421,9241,9242,9248,7508
2014-06-18,TX,201406,9241,9307,9208,9302,60,0.65%,64896,0,30732,9301,9302,9307,7508
2014-06-19,TX,201407,9187,9237,9181,9225,48,0.52%,74612,9226,48667,9225,9226,9237,8750
2014-06-20,TX,201407,9227,9230,9178,9180,-46,-0.50%,74727,9179,48777,9179,9180,9237,8750
2014-06-23,TX,201407,9179,9206,9151,9166,-13,-0.14%,82798,9167,51660,9165,9166,9237,8750
2014-06-24,TX,201407,9174,9198,9165,9172,5,0.05%,65966,9173,54314,9172,9174,9237,8750
2014-06-25,TX,201407,9146,9170,9137,9157,-16,-0.17%,63400,9156,55548,9155,9157,9237,8750
2014-06-26,TX,201407,9181,9237,9176,9233,77,0.84%,75765,9230,59119,9232,9233,9237,8750
2014-06-27,TX,201407,9231,9244,9205,9207,-23,-0.25%,58349,9206,57180,9206,9207,9244,8750
2014-06-30,TX,201407,9220,9307,9218,9290,84,0.91%,77543,9290,61219,9290,9292,9307,8750
2014-07-01,TX,201407,9299,9401,9289,9384,94,1.01%,101041,9380,60638,9382,9384,9401,8750
2014-07-02,TX,201407,9404,9488,9310,9402,22,0.23%,178185,9400,55712,9402,9403,9488,8750
2014-07-03,TX,201407,9396,9463,9367,9455,55,0.59%,111701,9455,58332,9454,9456,9488,8750
2014-07-04,TX,201407,9488,9494,9411,9453,-2,-0.02%,105559,9453,58194,9453,9454,9494,8750
2014-07-07,TX,201407,9452,9453,9398,9451,-2,-0.02%,86345,9451,59618,9450,9452,9494,8750
2014-07-08,TX,201407,9452,9492,9440,9477,26,0.28%,82334,9477,63825,9476,9478,9494,8750
2014-07-09,TX,201407,9450,9477,9436,9465,-12,-0.13%,77026,9463,62273,9462,9464,9494,8750
2014-07-10,TX,201407,9466,9556,9462,9553,90,0.95%,100623,9553,63129,9553,9554,9556,8750
2014-07-11,TX,201407,9540,9566,9450,9487,-66,-0.69%,157882,9486,54195,9487,9488,9566,8750
2014-07-14,TX,201407,9479,9529,9478,9525,39,0.41%,85979,9523,47746,9525,9527,9566,8750
